Generated by,Model,QE1,QE2,QE3,QE4,QE5,Prompt
GPT,Human,y,10,10,10,y,None
Tool,Human,n,10,4,4,y,None
Tool,llama3.1:8b,1,8,9,10,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a librarian, I want to edit suggestion list.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
librarian->System:suggestion_list 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,mistral,1,NA,NA,NA,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a librarian, I want to edit suggestion list.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
librarian->System:suggestion_list 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-4o-mini,Y,9,9,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a librarian, I want to edit suggestion list.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Librarian
database SuggestionDatabase
participant SuggestionEditor

Librarian -> SuggestionEditor: Access suggestion list editor
SuggestionEditor --> Librarian: Display current suggestion list

activate Librarian

Librarian -> SuggestionEditor: Edit suggestions (add, remove, modify)
SuggestionEditor --> SuggestionDatabase: Update suggestion list
SuggestionDatabase --> SuggestionEditor: Confirmation of update
SuggestionEditor --> Librarian: Notify successful edit

deactivate Librarian
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-5,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a librarian, I want to edit suggestion list.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Librarian
database SuggestionDatabase
participant SuggestionEditor

Librarian -> SuggestionEditor: Access suggestion list editor
SuggestionEditor --> Librarian: Display current suggestion list

activate Librarian

Librarian -> SuggestionEditor: Edit suggestions (add, remove, modify)
SuggestionEditor --> SuggestionDatabase: Update suggestion list
SuggestionDatabase --> SuggestionEditor: Confirmation of update
SuggestionEditor --> Librarian: Notify successful edit

deactivate Librarian
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,llama3.1:8b,,,,,,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a librarian, I want to edit suggestion list.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
librarian->System:suggestion_list 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,mistral,1,N/,N/,N/,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a librarian, I want to edit suggestion list.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
librarian->System:suggestion_list 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-4o-mini,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a librarian, I want to edit suggestion list.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Librarian
database SuggestionDatabase
participant SuggestionEditor

Librarian -> SuggestionEditor: Access suggestion list editor
SuggestionEditor --> Librarian: Display current suggestion list

activate Librarian

Librarian -> SuggestionEditor: Edit suggestions (add, remove, modify)
SuggestionEditor --> SuggestionDatabase: Update suggestion list
SuggestionDatabase --> SuggestionEditor: Confirmation of update
SuggestionEditor --> Librarian: Notify successful edit

deactivate Librarian
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-5,Y,9,8,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a librarian, I want to edit suggestion list.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Librarian
database SuggestionDatabase
participant SuggestionEditor

Librarian -> SuggestionEditor: Access suggestion list editor
SuggestionEditor --> Librarian: Display current suggestion list

activate Librarian

Librarian -> SuggestionEditor: Edit suggestions (add, remove, modify)
SuggestionEditor --> SuggestionDatabase: Update suggestion list
SuggestionDatabase --> SuggestionEditor: Confirmation of update
SuggestionEditor --> Librarian: Notify successful edit

deactivate Librarian
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
