Generated by,Model,QE1,QE2,QE3,QE4,QE5,Prompt
GPT,Human,y,10,10,10,y,
Tool,Human,y,10,6,6,y,
Tool,llama3.1:8b,N,10,8,6,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
library_manager->System:know 
library_manager->book:bring further_copy 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,mistral,1,1,1,1,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
library_manager->System:know 
library_manager->book:bring further_copy 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-4o-mini,Y,8,8,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor LibraryManager
database BorrowingDatabase
participant BookCatalog
participant PurchaseManager

LibraryManager -> BorrowingDatabase: Retrieve borrowing statistics
BorrowingDatabase --> LibraryManager: Provide borrowing statistics

activate LibraryManager

LibraryManager -> BookCatalog: Identify most borrowed books
BookCatalog --> BorrowingDatabase: Retrieve book details for most borrowed books

activate PurchaseManager

BorrowingDatabase --> PurchaseManager: Request to purchase additional copies
PurchaseManager --> BorrowingDatabase: Confirm purchase request
BorrowingDatabase --> LibraryManager: Notify about the purchase request

deactivate PurchaseManager

deactivate LibraryManager
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-5,Y,8,8,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor LibraryManager
database BorrowingDatabase
participant BookCatalog
participant PurchaseManager

LibraryManager -> BorrowingDatabase: Retrieve borrowing statistics
BorrowingDatabase --> LibraryManager: Provide borrowing statistics

activate LibraryManager

LibraryManager -> BookCatalog: Identify most borrowed books
BookCatalog --> BorrowingDatabase: Retrieve book details for most borrowed books

activate PurchaseManager

BorrowingDatabase --> PurchaseManager: Request to purchase additional copies
PurchaseManager --> BorrowingDatabase: Confirm purchase request
BorrowingDatabase --> LibraryManager: Notify about the purchase request

deactivate PurchaseManager

deactivate LibraryManager
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,llama3.1:8b,1,5,7,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
library_manager->System:know 
library_manager->book:bring further_copy 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,mistral,1,1,1,1,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
library_manager->System:know 
library_manager->book:bring further_copy 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-4o-mini,Y,9,8,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor LibraryManager
database BorrowingDatabase
participant BookCatalog
participant PurchaseManager

LibraryManager -> BorrowingDatabase: Retrieve borrowing statistics
BorrowingDatabase --> LibraryManager: Provide borrowing statistics

activate LibraryManager

LibraryManager -> BookCatalog: Identify most borrowed books
BookCatalog --> BorrowingDatabase: Retrieve book details for most borrowed books

activate PurchaseManager

BorrowingDatabase --> PurchaseManager: Request to purchase additional copies
PurchaseManager --> BorrowingDatabase: Confirm purchase request
BorrowingDatabase --> LibraryManager: Notify about the purchase request

deactivate PurchaseManager

deactivate LibraryManager
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-5,Y,8,9,8,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor LibraryManager
database BorrowingDatabase
participant BookCatalog
participant PurchaseManager

LibraryManager -> BorrowingDatabase: Retrieve borrowing statistics
BorrowingDatabase --> LibraryManager: Provide borrowing statistics

activate LibraryManager

LibraryManager -> BookCatalog: Identify most borrowed books
BookCatalog --> BorrowingDatabase: Retrieve book details for most borrowed books

activate PurchaseManager

BorrowingDatabase --> PurchaseManager: Request to purchase additional copies
PurchaseManager --> BorrowingDatabase: Confirm purchase request
BorrowingDatabase --> LibraryManager: Notify about the purchase request

deactivate PurchaseManager

deactivate LibraryManager
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
