Generated by,Model,QE1,QE2,QE3,QE4,QE5,Prompt
GPT,Human,y,10,10,10,y,None
Tool,Human,y,7,6,6,y,None
Tool,llama3.1:8b,1,9,8,6,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
employee->System:access _system work 
employee->System:guided neighbourhood 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,mistral,Y,7 ,8 ,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
employee->System:access _system work 
employee->System:guided neighbourhood 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-4o-mini,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Employee
actor System
database RoutePlanningDatabase

Employee -> System: Log In
System -> System: Authenticate Employee
System -> Employee: Provide Access

activate Employee

Employee -> System: Request Route
System -> RoutePlanningDatabase: Retrieve Route Details
RoutePlanningDatabase --> System: Return Route Details
System -> Employee: Display Route Details

deactivate Employee

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-5,Y,8,9,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Employee
actor System
database RoutePlanningDatabase

Employee -> System: Log In
System -> System: Authenticate Employee
System -> Employee: Provide Access

activate Employee

Employee -> System: Request Route
System -> RoutePlanningDatabase: Retrieve Route Details
RoutePlanningDatabase --> System: Return Route Details
System -> Employee: Display Route Details

deactivate Employee

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,llama3.1:8b,Y,9 ,9 ,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
employee->System:access _system work 
employee->System:guided neighbourhood 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,mistral,Y,8 ,7 ,9 ,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
employee->System:access _system work 
employee->System:guided neighbourhood 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-4o-mini,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Employee
actor System
database RoutePlanningDatabase

Employee -> System: Log In
System -> System: Authenticate Employee
System -> Employee: Provide Access

activate Employee

Employee -> System: Request Route
System -> RoutePlanningDatabase: Retrieve Route Details
RoutePlanningDatabase --> System: Return Route Details
System -> Employee: Display Route Details

deactivate Employee

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-5,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Employee
actor System
database RoutePlanningDatabase

Employee -> System: Log In
System -> System: Authenticate Employee
System -> Employee: Provide Access

activate Employee

Employee -> System: Request Route
System -> RoutePlanningDatabase: Retrieve Route Details
RoutePlanningDatabase --> System: Return Route Details
System -> Employee: Display Route Details

deactivate Employee

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
