Generated by,Model,QE1,QE2,QE3,QE4,QE5,Prompt
GPT,Human,y,9,8,8,y,None
Tool,Human,y,8,7,5,y,None
Tool,llama3.1:8b,Y,8,9,10,N,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a cook, I want to have employee data on the system including clock in and out information.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
cook->information:have employee_datum system 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,mistral,1,N/,N/,N/,1,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a cook, I want to have employee data on the system including clock in and out information.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
cook->information:have employee_datum system 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-4o-mini,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a cook, I want to have employee data on the system including clock in and out information.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Cook
actor System
database EmployeeDatabase

Cook -> System: Log In
System -> System: Authenticate Cook
System -> EmployeeDatabase: Retrieve Employee Data
EmployeeDatabase --> System: Return Employee Data
System -> Cook: Display Employee Data

activate Cook

Cook -> System: Clock In
System -> EmployeeDatabase: Update Clock In Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock In Confirmation

Cook -> System: Clock Out
System -> EmployeeDatabase: Update Clock Out Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock Out Confirmation

deactivate Cook

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-5,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a cook, I want to have employee data on the system including clock in and out information.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Cook
actor System
database EmployeeDatabase

Cook -> System: Log In
System -> System: Authenticate Cook
System -> EmployeeDatabase: Retrieve Employee Data
EmployeeDatabase --> System: Return Employee Data
System -> Cook: Display Employee Data

activate Cook

Cook -> System: Clock In
System -> EmployeeDatabase: Update Clock In Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock In Confirmation

Cook -> System: Clock Out
System -> EmployeeDatabase: Update Clock Out Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock Out Confirmation

deactivate Cook

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,llama3.1:8b,9,6 ,4 ,1 ,8,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a cook, I want to have employee data on the system including clock in and out information.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
cook->information:have employee_datum system 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,mistral,N,N/,N/,N/,N,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a cook, I want to have employee data on the system including clock in and out information.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
cook->information:have employee_datum system 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-4o-mini,Y,9,9,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a cook, I want to have employee data on the system including clock in and out information.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Cook
actor System
database EmployeeDatabase

Cook -> System: Log In
System -> System: Authenticate Cook
System -> EmployeeDatabase: Retrieve Employee Data
EmployeeDatabase --> System: Return Employee Data
System -> Cook: Display Employee Data

activate Cook

Cook -> System: Clock In
System -> EmployeeDatabase: Update Clock In Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock In Confirmation

Cook -> System: Clock Out
System -> EmployeeDatabase: Update Clock Out Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock Out Confirmation

deactivate Cook

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-5,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a cook, I want to have employee data on the system including clock in and out information.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor Cook
actor System
database EmployeeDatabase

Cook -> System: Log In
System -> System: Authenticate Cook
System -> EmployeeDatabase: Retrieve Employee Data
EmployeeDatabase --> System: Return Employee Data
System -> Cook: Display Employee Data

activate Cook

Cook -> System: Clock In
System -> EmployeeDatabase: Update Clock In Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock In Confirmation

Cook -> System: Clock Out
System -> EmployeeDatabase: Update Clock Out Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock Out Confirmation

deactivate Cook

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
