Generated by,Model,QE1,QE2,QE3,QE4,QE5,Prompt
GPT,Human,y,10,10,10,y,None
Tool,Human,n,4,3,3,n,None
Tool,llama3.1:8b,Y,8,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
p->datum:plan kind store 
p->System:ensure it 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,mistral,Y,8 ,9 ,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
p->datum:plan kind store 
p->System:ensure it 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-4o-mini,Y,8,8,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor PI
actor System
database DataPlanning

PI -> System: Log In
System -> System: Authenticate PI
System -> PI: Provide Access

activate PI

PI -> System: Plan Data Recording/Storage
System -> System: Record PI's Data Planning
System -> DataPlanning: Save Data Planning Details
DataPlanning --> System: Confirmation
System -> PI: Display Planning Confirmation

deactivate PI

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
Tool,gpt-5,Y,9,8,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor PI
actor System
database DataPlanning

PI -> System: Log In
System -> System: Authenticate PI
System -> PI: Provide Access

activate PI

PI -> System: Plan Data Recording/Storage
System -> System: Record PI's Data Planning
System -> DataPlanning: Save Data Planning Details
DataPlanning --> System: Confirmation
System -> PI: Display Planning Confirmation

deactivate PI

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,llama3.1:8b,Y,8,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
p->datum:plan kind store 
p->System:ensure it 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,mistral,Y,9 ,9 ,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml 
p->datum:plan kind store 
p->System:ensure it 
@enduml

            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-4o-mini,Y,9,9,10,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor PI
actor System
database DataPlanning

PI -> System: Log In
System -> System: Authenticate PI
System -> PI: Provide Access

activate PI

PI -> System: Plan Data Recording/Storage
System -> System: Record PI's Data Planning
System -> DataPlanning: Save Data Planning Details
DataPlanning --> System: Confirmation
System -> PI: Display Planning Confirmation

deactivate PI

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
GPT,gpt-5,Y,8,9,9,Y,"
            You are an assistant that evaluates a PlantUML sequence diagram based on a given user story.

            USER STORY:
            As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.

            SEQUENCE DIAGRAM (PlantUML):
            @startuml
actor PI
actor System
database DataPlanning

PI -> System: Log In
System -> System: Authenticate PI
System -> PI: Provide Access

activate PI

PI -> System: Plan Data Recording/Storage
System -> System: Record PI's Data Planning
System -> DataPlanning: Save Data Planning Details
DataPlanning --> System: Confirmation
System -> PI: Display Planning Confirmation

deactivate PI

@enduml


            Evaluate how well the sequence diagram represents the user story using the following criteria:

            QE1: Is the generated Sequence Diagram (SD) relevant to the given User Story (US)? (Yes/No)
            QE2: Rate the accuracy of object representation and interactions between them (1–10).
            QE3: Rate the accuracy of message and interaction representation (1–10).
            QE4: Rate the accuracy of the message sequence order (1–10).
            QE5: Do you think this tool will save time for Software Engineers when modeling SDs for this user story? (Yes/No)

            Final output format (exactly this format) - state only a number for each of the questions, if there is no possibility to answer, answer with 1:
            QE1: ...
            QE2: ...
            QE3: ...
            QE4: ...
            QE5: ...
        "
